Incident Id,Call Type,Date,Location,Incident Number
200295,Intoxication,12/14/2013 10:03:00 AM,Cherry St/Church St,13BU032990
200302,Traffic,12/14/2013 10:25:00 AM,Archibald St/Bright St,13BU032992
200344,Traffic,12/14/2013 12:13:00 PM,Pine St/Kilburn,13BU032999
200350,Burglary,12/14/2013 12:24:00 PM,Colchester Ave,13BU033000
200362,Noise,12/14/2013 12:44:00 PM,N Champlain St,13BU033002
200367,Domestic Disturbance,12/14/2013 12:56:00 PM,Church St,13BU033004
200375,Traffic,12/14/2013 01:19:00 PM,Main St/Battery St,13BU033005
200377,Traffic,12/14/2013 01:21:00 PM,Cherry St,13BU033006
200430,Assault - Aggravated,12/14/2013 04:23:00 PM,Manhattan Dr,13BU033017
200433,Trespass,12/14/2013 04:29:00 PM,Colchester Ave,13BU033018
200469,Traffic,12/14/2013 05:49:00 PM,Manhattan Dr/Oak St,13BU033021
200470,Traffic,12/14/2013 05:50:00 PM,N Union St/Grant St,13BU033022
200485,Intoxication,12/14/2013 06:54:00 PM,Main St,13BU033026
200514,Traffic,12/14/2013 08:48:00 PM,College St/S Winooski Ave,13BU033029
200544,Traffic,12/14/2013 10:47:00 PM,North Ave/Convent Sq,13BU033033
200553,Intoxication,12/14/2013 11:24:00 PM,Church St,13BU033034
200559,Domestic Disturbance,12/14/2013 11:50:00 PM,Church St,13BU033036
200566,Noise,12/15/2013 12:24:00 AM,Franklin Sq,13BU033038
200590,Noise,12/15/2013 02:18:00 AM,Hildred Dr,13BU033043
200602,Noise,12/15/2013 03:38:00 AM,N Willard St/Loomis St,13BU033045
200665,Traffic,12/15/2013 10:55:00 AM,Archibald St/ N Winooski,13BU033050
200714,Traffic,12/15/2013 02:41:00 PM,College St/Lake St,13BU033053
200715,Traffic,12/15/2013 02:42:00 PM,Pine St/Lakeside Ave,13BU033054
200717,Robbery,12/15/2013 02:48:00 PM,Shelburne Rd,13BU033055
200728,Ordinance Violation - Other,12/15/2013 03:10:00 PM,Intervale Rd,13BU033056
200735,Traffic,12/15/2013 03:37:00 PM,Main St/Church St,13BU033058
200740,Traffic,12/15/2013 04:07:00 PM,N Winooski Ave/Grant St,13BU033059
200755,Trespass,12/15/2013 05:46:00 PM,Church St,13BU033062
200761,Domestic Disturbance,12/15/2013 06:28:00 PM,Mansfield Ave,13BU033066
200766,Traffic,12/15/2013 06:46:00 PM,North Ave/Leddy Park Rd,13BU033067
200792,Noise,12/15/2013 08:03:00 PM,North Ave,13BU033073
200804,Domestic Disturbance,12/15/2013 09:02:00 PM,North St,13BU033076
200834,Domestic Disturbance,12/16/2013 12:01:00 AM,Shelburne Rd,13BU033080
200840,Traffic,12/16/2013 12:27:00 AM,North St/ N Winooski,13BU033081
200852,Domestic Disturbance,12/16/2013 02:14:00 AM,Riverside Ave,13BU033084
200890,Domestic Disturbance,12/16/2013 07:13:00 AM,Oak St,13BU033088
200893,Noise,12/16/2013 07:28:00 AM,Isham St,13BU033089
200940,Assault - Simple,12/16/2013 09:30:00 AM,S Champlain St,13BU033095
200993,Traffic,12/16/2013 12:06:00 PM,North Ave / Starr Farm Rd,13BU033104
201021,Traffic,12/16/2013 12:55:00 PM,N Union St / Hickok Pl,13BU033113
201030,Larceny - from Building,12/16/2013 01:04:00 PM,Mansfield Ave,13BU033115
201035,Mental Health Issue,12/16/2013 01:18:00 PM,Pine St,13BU033117
201085,Traffic,12/16/2013 02:48:00 PM,Riverside Ave/Intervale Rd,13BU033125
201096,Intoxication,12/16/2013 03:20:00 PM,S Winooski Ave/King St,13BU033129
201108,Traffic,12/16/2013 03:47:00 PM,Riverside Ave / Bright St,13BU033130
201120,Traffic,12/16/2013 04:24:00 PM,North Ave/Crowley St,13BU033132
201135,Larceny from a Person,12/16/2013 05:07:00 PM,Bank St,13BU033139
201178,Intoxication,12/16/2013 06:21:00 PM,Baird St,13BU033146
201229,Noise,12/16/2013 08:46:00 PM,Pearl St,13BU033151
201281,Noise,12/16/2013 11:48:00 PM,King St,13BU033156
201283,Traffic,12/16/2013 11:54:00 PM,Main st/St Paul St,13BU033157
201291,Intoxication,12/17/2013 12:05:00 AM,Hyde St,13BU033160
201301,Traffic,12/17/2013 12:40:00 AM,Pine St/Morse Pl,13BU033163
201307,Traffic,12/17/2013 12:59:00 AM,Pine St/King St,13BU033165
201311,Domestic Disturbance,12/17/2013 01:23:00 AM,N Willard St,13BU033166
201314,Traffic,12/17/2013 01:30:00 AM,Shelburne Rd/Marion St,13BU033168
201343,Traffic,12/17/2013 05:58:00 AM,Flynn Ave/Briggs St,13BU033172
201348,Traffic,12/17/2013 06:53:00 AM,Pine St/Pine Pl,13BU033174
201394,Traffic,12/17/2013 09:08:00 AM,Elmwood Ave/North St,13BU033180
201407,Traffic,12/17/2013 09:42:00 AM,Riverside Ave/Colchester Ave,13BU033181
201425,Traffic,12/17/2013 10:12:00 AM,N Winooski Ave/Grant St,13BU033185
201462,Burglary,12/17/2013 11:09:00 AM,Bank St,13BU033189
201464,Trespass,12/17/2013 11:17:00 AM,Bank St,13BU033190
201524,Intoxication,12/17/2013 01:20:00 PM,Colchester Ave,13BU033199
201538,Larceny - from Building,12/17/2013 01:41:00 PM,Institute Rd,13BU033201
201539,Larceny - from Building,12/17/2013 01:41:00 PM,Institute Rd,13BU033202
201556,Burglary,12/17/2013 02:15:00 PM,Hickock Pl,13BU033204
201570,Mental Health Issue,12/17/2013 02:37:00 PM,Pine St/Flynn Ave,13BU033206
201572,Trespass,12/17/2013 02:41:00 PM,College St,13BU033207
201615,Traffic,12/17/2013 04:32:00 PM,Riverside Ave/Hillside Ter,13BU033214
201621,Traffic,12/17/2013 04:43:00 PM,Church St/King St,13BU033215
201687,Traffic,12/17/2013 07:40:00 PM,Riverside Ave/N Prospect St,13BU033231
201708,Traffic,12/17/2013 09:01:00 PM,S Willard St/Main St,13BU033235
201730,Traffic,12/17/2013 09:45:00 PM,Shelburne Rd/S Willard St,13BU033237
201737,Traffic,12/17/2013 10:04:00 PM,Main St/S Champlain St,13BU033239
201754,Traffic,12/17/2013 11:05:00 PM,S Winooski Ave/College St,13BU033240
201757,Traffic,12/17/2013 11:22:00 PM,East Ave/University Rd,13BU033241
201758,Traffic,12/17/2013 11:24:00 PM,S Winooski Ave/Main St,13BU033242
201759,Burglary,12/17/2013 11:26:00 PM,N Prospect St,13BU033243
201763,Traffic,12/17/2013 11:41:00 PM,Colchester Ave/East Ave,13BU033244
201769,Traffic,12/18/2013 12:04:00 AM,Elmwood Ave/North St,13BU033247
